Sat Nov 11 15:14:01 2023    output.pstats

         126885478 function calls (126795106 primitive calls) in 300.429 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.432    0.144 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/process.py:762(submit)
  1972850    0.432    0.000    0.432    0.000 {built-in method builtins.getattr}
        3    0.000    0.000    0.427    0.142 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/process.py:728(_adjust_process_count)
        3    0.000    0.000    0.427    0.142 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/process.py:751(_spawn_process)
        3    0.000    0.000    0.427    0.142 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/process.py:110(start)
        3    0.000    0.000    0.426    0.142 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/context.py:285(_Popen)
        3    0.000    0.000    0.425    0.142 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/popen_spawn_posix.py:30(__init__)
        3    0.000    0.000    0.425    0.142 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/popen_fork.py:15(__init__)
        3    0.001    0.000    0.424    0.141 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/popen_spawn_posix.py:38(_launch)
    26/24    0.044    0.002    0.398    0.017 {built-in method numpy.core._multiarray_umath.implement_array_function}
  2980036    0.392    0.000    0.392    0.000 {method 'strip' of 'str' objects}
     5000    0.141    0.000    0.388    0.000 /Users/alexsworkcomputer/Desktop/CU/CPBS_7711/Module3/M3D3/components/module2_stage1_subnetworks.py:23(<listcomp>)
        1    0.000    0.000    0.354    0.354 <__array_function__ internals>:177(sort)
        1    0.000    0.000    0.354    0.354 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/numpy/core/fromnumeric.py:878(sort)
        1    0.057    0.057    0.326    0.326 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/json/__init__.py:120(dump)
        1    0.317    0.317    0.317    0.317 {method 'sort' of 'numpy.ndarray' objects}
  1977267    0.306    0.000    0.306    0.000 {method 'items' of 'dict' objects}
    60000    0.043    0.000    0.259    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/random.py:358(randint)
   100002    0.037    0.000    0.245    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/json/encoder.py:414(_iterencode)
    61453    0.102    0.000    0.220    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/random.py:284(randrange)
    61108    0.210    0.000    0.210    0.000 {method 'split' of 'str' objects}
190002/100002    0.104    0.000    0.208    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/json/encoder.py:334(_iterencode_dict)
        4    0.000    0.000    0.142    0.035 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/frame.py:3713(__getitem__)
        2    0.000    0.000    0.135    0.067 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/frame.py:11286(values)
        2    0.012    0.006    0.135    0.067 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/managers.py:1677(as_array)
        7    0.120    0.017    0.132    0.019 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:1573(construct_1d_object_array_from_listlike)
        2    0.036    0.018    0.122    0.061 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/managers.py:1741(_interleave)
        1    0.000    0.000    0.121    0.121 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/_base.py:646(__exit__)
        1    0.000    0.000    0.121    0.121 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/process.py:816(shutdown)
        1    0.000    0.000    0.120    0.120 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py:1080(join)
        1    0.000    0.000    0.120    0.120 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py:1118(_wait_for_tstate_lock)
        6    0.000    0.000    0.102    0.017 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/managers.py:306(apply)
       28    0.096    0.003    0.096    0.003 {built-in method numpy.empty}
        8    0.092    0.011    0.092    0.011 {method 'copy' of 'numpy.ndarray' objects}
    61453    0.065    0.000    0.092    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/random.py:235(_randbelow_with_getrandbits)
    70000    0.063    0.000    0.089    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/json/encoder.py:278(_iterencode_list)
        1    0.000    0.000    0.080    0.080 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/frame.py:3786(_getitem_bool_array)
        2    0.000    0.000    0.079    0.040 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/generic.py:6342(copy)
        4    0.000    0.000    0.079    0.020 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/managers.py:620(copy)
        2    0.000    0.000    0.078    0.039 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/generic.py:6161(astype)
        2    0.000    0.000    0.078    0.039 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/managers.py:442(astype)
        2    0.000    0.000    0.078    0.039 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/blocks.py:483(astype)
        2    0.000    0.000    0.078    0.039 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/dtypes/astype.py:196(astype_array_safe)
        2    0.000    0.000    0.078    0.039 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/dtypes/astype.py:162(astype_array)
        2    0.000    0.000    0.078    0.039 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/dtypes/astype.py:60(_astype_nansafe)
        2    0.078    0.039    0.078    0.039 {built-in method pandas._libs.lib.ensure_string_array}
        3    0.000    0.000    0.064    0.021 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/spawn.py:154(get_preparation_data)
        4    0.064    0.016    0.064    0.016 {built-in method posix.getcwd}
        4    0.000    0.000    0.062    0.016 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2109(get_values)
        6    0.062    0.010    0.062    0.010 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.061    0.061 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/generic.py:3940(_take_with_is_copy)
        1    0.000    0.000    0.061    0.061 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/generic.py:3911(_take)
        1    0.000    0.000    0.061    0.061 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/managers.py:929(take)
        1    0.000    0.000    0.060    0.060 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/managers.py:683(reindex_indexer)
        1    0.000    0.000    0.060    0.060 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/managers.py:768(_slice_take_blocks_ax0)
        2    0.000    0.000    0.060    0.030 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/blocks.py:926(take_nd)
        4    0.000    0.000    0.060    0.015 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/array_algos/take.py:58(take_nd)
        4    0.000    0.000    0.060    0.015 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
        1    0.000    0.000    0.059    0.059 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/apply.py:637(values)
        3    0.013    0.004    0.055    0.018 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/managers.py:1823(_consolidate_inplace)
        2    0.000    0.000    0.044    0.022 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/frame.py:3921(__setitem__)
        2    0.000    0.000    0.044    0.022 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/frame.py:4133(_set_item)
        4    0.000    0.000    0.044    0.011 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/frame.py:641(__init__)
        6    0.000    0.000    0.044    0.007 <__array_function__ internals>:177(concatenate)
        2    0.000    0.000    0.044    0.022 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/construction.py:411(dict_to_mgr)
    15177    0.025    0.000    0.044    0.000 <frozen codecs>:319(decode)
        1    0.000    0.000    0.042    0.042 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/managers.py:2262(_consolidate)
        1    0.027    0.027    0.042    0.042 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/managers.py:2279(_merge_blocks)
        2    0.000    0.000    0.041    0.021 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/construction.py:97(arrays_to_mgr)
     5022    0.041    0.000    0.041    0.000 {method '__exit__' of '_io._IOBase' objects}
        2    0.000    0.000    0.040    0.020 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/managers.py:2119(create_block_manager_from_column_arrays)
        2    0.000    0.000    0.040    0.020 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/managers.py:2191(_form_blocks)
        1    0.012    0.012    0.040    0.040 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/managers.py:2249(_stack_arrays)
     5000    0.038    0.000    0.038    0.000 /Users/alexsworkcomputer/Desktop/CU/CPBS_7711/Module3/M3D3/components/module2_stage1_subnetworks.py:118(<listcomp>)
        1    0.007    0.007    0.038    0.038 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:368(_concatenate_chunks)
        2    0.000    0.000    0.032    0.016 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/frame.py:4847(_sanitize_column)
        2    0.000    0.000    0.031    0.016 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/frame.py:11602(_reindex_for_setitem)
        2    0.000    0.000    0.031    0.016 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/dtypes/concat.py:33(concat_compat)
        2    0.028    0.014    0.028    0.014 {pandas._libs.algos.take_2d_axis1_object_object}
   184359    0.027    0.000    0.027    0.000 {built-in method _operator.index}
        5    0.000    0.000    0.024    0.005 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/blocks.py:534(copy)
   100001    0.024    0.000    0.024    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    60013    0.022    0.000    0.022    0.000 {method 'update' of 'dict' objects}
       23    0.019    0.001    0.019    0.001 {built-in method posix.close}
    15177    0.019    0.000    0.019    0.000 {built-in method _codecs.utf_8_decode}
    70000    0.018    0.000    0.018    0.000 {built-in method _json.encode_basestring_ascii}
    60007    0.016    0.000    0.016    0.000 {method 'add' of 'set' objects}
    79848    0.016    0.000    0.016    0.000 {method 'getrandbits' of '_random.Random' objects}
        4    0.001    0.000    0.016    0.004 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/util.py:447(spawnv_passfds)
     19/6    0.000    0.000    0.015    0.003 <frozen importlib._bootstrap>:1167(_find_and_load)
        4    0.015    0.004    0.015    0.004 {built-in method _posixsubprocess.fork_exec}
     19/6    0.000    0.000    0.015    0.002 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
        1    0.000    0.000    0.014    0.014 <__array_function__ internals>:177(vstack)
        1    0.000    0.000    0.014    0.014 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/numpy/core/shape_base.py:223(vstack)
        1    0.000    0.000    0.014    0.014 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/process.py:611(__init__)
     17/5    0.000    0.000    0.014    0.003 <frozen importlib._bootstrap>:666(_load_unlocked)
     14/5    0.000    0.000    0.013    0.003 <frozen importlib._bootstrap_external>:934(exec_module)
    66089    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.013    0.006 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/frame.py:4108(_set_item_mgr)
        2    0.000    0.000    0.013    0.006 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/frame.py:4101(_iset_item_mgr)
        1    0.000    0.000    0.013    0.013 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/process.py:163(__init__)
        1    0.000    0.000    0.013    0.013 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/queues.py:37(__init__)
        3    0.000    0.000    0.012    0.004 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/frame.py:4240(_clear_item_cache)
        3    0.012    0.004    0.012    0.004 {method 'clear' of 'dict' objects}
    45/11    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     5005    0.009    0.000    0.012    0.000 <frozen codecs>:309(__init__)
        5    0.001    0.000    0.012    0.002 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/synchronize.py:50(__init__)
        4    0.000    0.000    0.012    0.003 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/context.py:65(Lock)
        4    0.000    0.000    0.011    0.003 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/synchronize.py:161(__init__)
    61453    0.010    0.000    0.010    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.010    0.010 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/__init__.py:40(__getattr__)
        1    0.000    0.000    0.009    0.009 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/process.py:1(<module>)
